gene_id,WT1,WT2,LOF1,LOF2,LOF3,GOF1,GOF2,GOF3
Xkr4,0,0.0407036,0,0,0,0,0.0668358,0
Rp1,0,0,0,0,0,0,0,0
Sox17,0,0,0,0,0,0,0,0
Mrpl15,6.27202,2.87561,5.95199,7.38776,10.0632,5.20115,4.67921,7.76083
Lypla1,9.66062,7.28389,12.1631,13.8667,12.6352,10.5132,7.92122,8.1295
Tcea1,8.99182,5.19383,10.2079,8.71042,12.3701,8.5553,8.00169,10.6466
Rgs20,0,0,0,0,0,0,0,0
Atp6v1h,2.68615,1.95911,5.80189,4.63357,5.3474,4.62821,4.5423,3.91621
Oprk1,0,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0
Rb1cc1,1.7571,0.9309,3.5562,2.84161,0.719656,3.46646,3.48864,2.95203
Fam150a,0,0,0,0,0,0,0,0
St18,0.688552,0.89653,0.273461,0.117878,0.89111,0.434846,0.180243,0.38812
Pcmtd1,1.86731,0.798283,0.670264,1.54041,1.20375,1.7793,1.86587,1.92142
Sntg1,0,0,0,0,0,0,0,0
Rrs1,4.73509,1.51653,3.40632,3.20139,3.18018,3.66643,3.99184,4.21927
Adhfe1,0.258094,0.431981,0.313854,0.386628,0.392901,0.0648265,0.517947,0.171908
2610203C22Rik,0,0,0,0,0,0,0,0
3110035E14Rik,0,0,0,0,0,0,0,0
Mybl1,0.525813,0.794626,0.249237,0.316472,1.06328,0.282082,0.329765,0.251381
Vcpip1,3.1072,2.66308,4.20323,3.3247,3.53665,3.80102,3.29602,4.55025
1700034P13Rik,3.95543,4.7112,4.19719,4.14817,0,2.43838,4.90776,4.22271
Sgk3,0.233394,0.0949225,0.479563,0.274764,0,0.50531,0.178223,0.394883
Mcmdc2,0.789195,0.410889,0.410747,0.418813,0,1.02865,0.481961,0.12938
Snhg6,1.2956,1.91904,2.30956,2.43742,0,4.07416,3.60896,3.30877
Snord87,0,0,0,0,0,0,0,0
Tcf24,0,0,0,0,0,0.0648123,0,0.076081
Ppp1r42,0,0,0,0,0,0,0,0
Cops5,10.7505,8.2642,7.13165,10.4887,17.9215,8.66656,10.2904,10.1675
Cspp1,1.85373,1.9943,1.64273,2.0068,1.31436,2.25828,2.80676,2.32807
Arfgef1,12.674,7.47219,16.5341,14.021,14.9097,13.6642,16.7056,17.021
Cpa6,0,0,0,0,0,0,0,0
Prex2,0,0.0223244,0.0328722,0.0154101,0,0.0122252,0.0157087,0
A830018L16Rik,0,0.00236732,0.0276081,0.0072656,0,0.012969,0.00185121,0
Mir6341,0,0,0,0,0,0,0,0
Gm17644,19.9218,35.8544,23.3613,20.0252,24.2571,21.0328,20.0733,19.883
Sulf1,0,0,0,0,0,0,0,0
Slco5a1,0,0,0,0,0,0.0374132,0.140213,0.108222
Prdm14,0,0,0,0,0,0,0,0
Ncoa2,13.9679,12.6408,16.1602,16.1802,8.56729,18.2347,17.3423,19.081
Tram1,15.7966,10.9962,19.5059,22.9907,29.481,16.0725,17.6331,15.404
Lactb2,5.63809,8.06259,11.376,13.6232,14.6899,10.9504,8.68262,13.5514
Xkr9,0.0424628,0.197352,1.076,0.472473,4.0401,0.0648476,0,0
Gm5523,2.71698,2.98709,3.59793,3.0761,3.35999,1.2212,1.44146,2.39994
Eya1,0,0,0,0,0,0,0,0
Msc,0,0,0,0,0,0,0,0
Trpa1,0,0,0.483268,0,0,0,0,0
Kcnb2,0,0.372536,0,0.0190493,0,0.241787,0.200654,0
Terf1,7.03762,5.85002,4.06252,5.19594,2.55088,5.69139,5.31254,4.99721
Sbspon,0.0292349,0.0543631,0.200204,0.0875828,0,0.208397,0.25506,0
4930444P10Rik,0,0,0,0,0,0,0,0
Rpl7,229.638,234.097,133.026,164.971,143.414,304.244,255.027,370.94
Rdh10,1.2,2.78896,2.63459,2.70372,3.76118,3.27032,4.81869,6.88872
Stau2,2.44554,1.29477,2.52673,2.21025,0.443217,3.65032,4.1188,3.15991
Ube2w,0.636761,0.2842,0.487496,0.868901,0,0.644444,0.511117,0.918614
Tceb1,8.66555,3.72726,5.24885,8.74241,9.02289,5.66029,4.61292,6.81735
D030040B21Rik,0,0.0267759,0.210362,0,0,0.00488778,0.0167501,0
Tmem70,8.43004,3.49707,6.42428,3.5872,1.45002,3.97564,3.13664,3.4638
Ly96,5.61406,4.78267,11.9923,9.69152,9.51019,11.8672,7.07988,12.9466
Jph1,0,0,0,0,0,0,0,0.033658
Gdap1,0,0,0,0,0,0,0,0
Pi15,0.0566083,0.047385,0.0930297,0.0387659,0,0.0230655,0.00493965,0.0725221
Crispld1,0,0,0,0,0,0,0,0
Crisp4,0,0,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0,0
Gm15386,0,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,0,0
Tfap2b,0,0,0,0,0,0,0,0
Pkhd1,0.0722155,0.0447818,0,0.0540913,0.137452,0.0980916,0,0
4930486I03Rik,1.82394,0,0,0,0,0,0,0
Mir206,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0
Il17a,0,0,0,0,0,0,0,0
Il17f,0,0,0,0,0,0,0,0
Mcm3,19.5307,12.4765,16.0003,14.0897,9.83406,12.109,11.9376,14.5611
6720483E21Rik,0,0,0,0,0,0,0.0998384,0
Paqr8,0.805299,0.183064,0.036763,0.367642,0.204353,0.583271,0.866614,0.907805
Efhc1,0,0,0,0,0,0,0,0
Tram2,0.72281,1.06344,1.23767,1.41765,3.43816,0.582412,2.07514,0.647785
Tmem14a,0.364323,0.541524,0,0.124714,0.945626,1.33463,0.794291,0.111925
Gsta3,1.21895,1.24592,0.0388295,0.052159,0.231895,0,0.106311,0.0936327
Gm4956,0,0,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0,0.0456987,0
Khdc1c,0,0,0,0,0,0,0.114421,0
Khdc1b,0,0.603856,0,0.138993,0,0.238836,0.0472223,0
Kcnq5,0,0,0,0,0,0,0,0
Rims1,0,0,0,0,0,0,0,0
4933415F23Rik,0,0,0,0,0,0,0,0
Mir30a,0,0,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0,0,0
Ogfrl1,0,0.19698,0.145039,0.0209201,0,0.0497862,0.0852995,0
B3gat2,0.145356,0,0.012442,0,0,0.166556,0,0
Smap1,13.6407,16.6783,17.3114,14.5282,16.0032,14.9679,15.5744,16.757
1110058L19Rik,1.24488,0,2.36944,1.36095,0,2.31985,3.4959,2.75975
Fam135a,5.41163,6.24065,5.79106,4.78301,5.35777,6.65883,7.18911,6.23026
Col9a1,0,0,0,0,0,0.0657369,0.168955,0
Col19a1,0,0,0,0,0,0.033897,0,0
Lmbrd1,2.61512,2.72297,3.98286,3.97834,5.16946,3.73246,3.37526,5.46212
Bai3,0,0,0,0,0,0,0,0
Gm20172,0,0,0,0,0,0,0,0
4931408C20Rik,0,0,0,0,0,0,0,0
Gm597,0,0,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0,0,0
Phf3,10.5904,6.22972,9.63352,7.88695,10.4429,13.2241,13.609,13.4962
Ptp4a1,1.83122,2.76299,2.19069,3.66864,0.654287,2.1827,3.38795,4.30704
Gm13363,12.9377,3.46409,13.6736,13.7178,16.3611,13.6817,15.9701,18.0567
4931428L18Rik,0,0,0,0,0,0,0,0
Lgsn,0,0,0,0,0,0,0,0
Pih1d3,0,0,0,0,0,0,0,0
Gm4850,0,0,0,0,0,0,0,0
