"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.CycISC","log2fold_change","Auc"
"568","Hmgb2","hurdle",0,1.999272,3.58077,1.581498,0.854
"1393","Tubb5","hurdle",0,2.003798,3.518712,1.514914,0.849
"1275","Stmn1","hurdle",0,2.167968,3.550288,1.38232,0.846
"1388","Tuba1b","hurdle",0,1.644907,3.104442,1.459535,0.827
"1358","Top2a","hurdle",0,0.1669197,1.9263096,1.7593899,0.811
"119","Birc5","hurdle",0,0.6529694,2.1755763,1.5226069,0.81
"1407","Ube2c","hurdle",0,1.006199,2.740285,1.734086,0.806
"1035","Ptma","hurdle",0,4.427779,5.215008,0.787229,0.802
"529","H2afz","hurdle",0,2.309268,3.338033,1.028765,0.794
"527","H2afx","hurdle",0,0.4329594,1.9699003,1.5369409,0.794
"162","Ccdc34","hurdle",0,1.386652,2.608066,1.221414,0.793
"567","Hmgb1","hurdle",0,0.7799348,2.1098722,1.3299374,0.78
"179","Cd81","hurdle",0,2.690663,3.551487,0.860824,0.778
"265","Cks1b","hurdle",0,0.04667587,1.45161211,1.40493624,0.776
"16","2810417H13Rik","hurdle",0,0.7706111,2.2129244,1.4423133,0.776
"531","H3f3b","hurdle",0,3.687549,4.408509,0.720959999999999,0.773
"1247","Spc24","hurdle",0,-0.132613,1.298009,1.430622,0.771
"1057","Ran","hurdle",0,2.618252,3.491801,0.873549,0.77
"267","Cks2","hurdle",0,-0.04817254,1.39722298,1.44539552,0.767
"196","Cdk1","hurdle",0,-0.6081076,1.0729778,1.6810854,0.764
"14","2700094K13Rik","hurdle",0,0.9202311,2.0247458,1.1045147,0.763
"526","H2afv","hurdle",0,2.790104,3.563157,0.773053,0.758
"609","Ifitm3","hurdle",0,3.94451,4.788074,0.843564,0.755
"269","Clca3b","hurdle",0,2.10713,3.036718,0.929588,0.753
"571","Hmgn1","hurdle",0,1.925779,2.812669,0.88689,0.748
"190","Cdca3","hurdle",0,0.03402083,1.34802369,1.31400286,0.748
"63","Anp32b","hurdle",0,1.602731,2.505048,0.902317,0.748
"979","Ppia","hurdle",0,2.681177,3.459811,0.778634,0.745
"195","Cdca8","hurdle",0,-0.6381738,0.850413,1.4885868,0.745
"911","Pbk","hurdle",0,-1.0648967,0.6416274,1.7065241,0.744
"867","Nucks1","hurdle",0,0.2973276,1.4436333,1.1463057,0.743
"1212","Smc4","hurdle",0,-0.5691997,0.9464709,1.5156706,0.739
"1058","Ranbp1","hurdle",0,2.560226,3.348042,0.787816,0.738
"1260","Srsf3","hurdle",0,1.772236,2.618144,0.845908,0.734
"212","Cenpa","hurdle",0,0.1836584,1.6231717,1.4395133,0.733
"1392","Tubb4b","hurdle",0,1.39286,2.331436,0.938576,0.732
"1166","Serinc3","hurdle",0,1.476747,2.333506,0.856759,0.731
"569","Hmgb3","hurdle",0,0.3250481,1.3918769,1.0668288,0.727
"1232","Snrpg","hurdle",0,2.451273,3.148416,0.697143,0.726
"813","Ncl","hurdle",0,1.70264,2.548398,0.845758,0.725
"740","Mif","hurdle",0,2.532057,3.265865,0.733808,0.725
"608","Ifitm2","hurdle",0,2.583495,3.282549,0.699054,0.725
"530","H3f3a","hurdle",6.917038599797e-305,2.583314,3.215601,0.632287,0.725
"178","Cd74","hurdle",3.63677378339828e-292,3.618375,4.318051,0.699676,0.725
"689","Lsm2","hurdle",0,0.6346252,1.5529016,0.9182764,0.724
"1293","Sypl","hurdle",0,1.234374,2.152613,0.918239,0.721
"596","Hsp90aa1","hurdle",0,1.396337,2.251998,0.855661,0.721
"326","Dek","hurdle",0,0.1160777,1.2290871,1.1130094,0.721
"167","Ccnb2","hurdle",0,-0.7390328,0.8357539,1.5747867,0.721
"148","Calm2","hurdle",1.50908460936727e-290,2.388748,3.083949,0.695201,0.72
"576","Hn1","hurdle",1.23248551732261e-306,1.918298,2.667934,0.749636,0.719
"1228","Snrpd1","hurdle",2.47032822920623e-323,1.196073,2.009963,0.81389,0.718
"1263","Srsf7","hurdle",3.26972644417737e-320,1.127951,1.997186,0.869235,0.717
"691","Lsm4","hurdle",4.23167225663028e-320,2.132898,2.836922,0.704024,0.717
"580","Hnrnpa2b1","hurdle",1.432672898452e-312,2.16123,2.86551,0.70428,0.717
"293","Cps1","hurdle",0,1.873632,2.6222,0.748568,0.717
"199","Cdk4","hurdle",1.03753785626662e-322,1.701164,2.476167,0.775003,0.716
"215","Cenpf","hurdle",0,-1.458572,0.4101098,1.8686818,0.715
"1226","Snrpb","hurdle",1.06460853176984e-303,1.733159,2.454163,0.721004,0.714
"830","Nhp2","hurdle",0,1.682799,2.446032,0.763233,0.714
"745","Mki67","hurdle",0,-0.8609199,0.4858801,1.3468,0.714
"208","Cdo1","hurdle",0,0.1117828,1.1946386,1.0828558,0.714
"55","Amica1","hurdle",3.45845952088873e-323,1.628866,2.418055,0.789189,0.713
"1129","Rps3a1","hurdle",6.04822941918389e-248,4.796297,5.30871,0.512413,0.712
"350","Dut","hurdle",6.675968068144e-316,0.8329074,1.7539401,0.9210327,0.712
"1103","Rnaseh2c","hurdle",5.45175793417216e-302,0.5848799,1.4574023,0.8725224,0.71
"543","Hdgf","hurdle",1.0752127045197e-297,1.551273,2.309561,0.758288,0.71
"165","Ccna2","hurdle",0,-1.0042824,0.3849841,1.3892665,0.71
"1331","Tk1","hurdle",0,-0.3857556,0.8491551,1.2349107,0.709
"504","Gpx2","hurdle",4.25573615878092e-295,3.284881,3.976753,0.691872,0.709
"1230","Snrpe","hurdle",1.74216570723762e-289,1.521524,2.243789,0.722265,0.708
"1176","Sf3b5","hurdle",2.36740229413468e-291,1.20712,1.95536,0.74824,0.708
"141","Bub3","hurdle",6.40026005987010e-310,-0.02797063,1.10410467,1.1320753,0.708
"83","Ascl2","hurdle",1.55763202457545e-311,0.08865803,1.21802028,1.12936225,0.708
"182","Cdc20","hurdle",0,-0.8847516,0.6755193,1.5602709,0.707
"493","Gm8730","hurdle",6.96186607794365e-275,3.259124,4.0986,0.839476,0.706
"1169","Set","hurdle",1.80436183037431e-297,1.355568,2.123046,0.767478,0.705
"1164","Serbp1","hurdle",8.96214362787889e-286,2.196505,2.861398,0.664893,0.705
"1229","Snrpd2","hurdle",4.59102994762162e-290,2.049575,2.708037,0.658462,0.704
"597","Hsp90ab1","hurdle",5.71694243523859e-274,3.78888,4.397214,0.608334,0.704
"851","Npm1","hurdle",9.80849209082022e-306,3.225911,3.874249,0.648338,0.703
"953","Pmf1","hurdle",3.61181895215876e-293,-0.1285425,0.9047006,1.0332431,0.702
"1347","Tmpo","hurdle",5.64331109005418e-285,0.02597861,1.00637871,0.9804001,0.701
"1210","Smc2","hurdle",0,-1.3487461,0.1664751,1.5152212,0.701
"898","Pabpc1","hurdle",1.26918218361767e-273,3.501819,4.078989,0.57717,0.701
"684","Lockd","hurdle",0,-0.9623219,0.3908745,1.3531964,0.701
"760","Mrfap1","hurdle",3.85946816041008e-264,1.624049,2.274943,0.650894,0.699
"381","Eif4a1","hurdle",6.68391644681621e-257,2.336547,2.919842,0.583295,0.699
"523","H2-Eb1","hurdle",1.08800967915607e-252,1.813195,2.654603,0.841408,0.698
"582","Hnrnpab","hurdle",5.43730957305246e-263,1.516117,2.189956,0.673839,0.697
"519","H2-Aa","hurdle",1.1970292678308e-253,1.486179,2.383456,0.897277,0.697
"361","Eef1b2","hurdle",5.88919785996101e-262,3.318348,3.865877,0.547529,0.697
"349","Dtymk","hurdle",8.84882589785328e-269,0.6383127,1.4997026,0.8613899,0.697
"319","Dctpp1","hurdle",3.48832011942518e-284,1.512212,2.207634,0.695422,0.697
