"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.EE","log2fold_change","Auc"
"657","Tm4sf4","hurdle",2.00141118130904e-134,-0.2278547,2.9478834,3.1757381,0.868
"142","Chgb","hurdle",2.40074743040372e-252,-2.829679,4.427552,7.257231,0.831
"253","Fxyd3","hurdle",3.35223518078815e-113,-0.1107253,2.2205176,2.3312429,0.82
"575","Sct","hurdle",1.40609616880679e-305,-1.381453,5.329522,6.710975,0.817
"579","Selm","hurdle",1.32551530670195e-78,0.03301166,1.83987817,1.80686651,0.812
"308","Hepacam2","hurdle",5.8283794969283e-98,-2.2529698,0.7663917,3.0193615,0.78
"141","Chga","hurdle",2.69481766356345e-172,-3.016426,3.266067,6.282493,0.769
"96","Bex2","hurdle",6.01182950768772e-165,-3.1983149,0.8776451,4.07596,0.768
"60","Aplp1","hurdle",1.19855314406008e-158,-2.97248,1.042361,4.014841,0.768
"158","Cpe","hurdle",3.15355841084029e-173,-3.254313,1.696623,4.950936,0.759
"455","Pcsk1n","hurdle",2.0641460143182e-175,-3.28372,1.190184,4.473904,0.754
"422","Neurod1","hurdle",6.21643236509638e-171,-3.2860066,0.3695158,3.6555224,0.754
"185","Ddc","hurdle",1.87141576596946e-62,-1.1550308,0.6871512,1.842182,0.754
"317","Hmgn3","hurdle",5.67495025501375e-139,-3.061752,1.017382,4.079134,0.752
"229","Fam183b","hurdle",4.01551305954401e-158,-1.737435,1.183783,2.921218,0.75
"580","Sepp1","hurdle",4.34105180102243e-44,-0.2469423,1.5122397,1.759182,0.749
"652","Tff3","hurdle",1.52862701059455e-39,2.468122,3.339886,0.871764,0.746
"367","Krt7","hurdle",6.79278536771541e-98,0.1019772,2.1679807,2.0660035,0.743
"264","Gch1","hurdle",1.81701613222306e-100,-2.1608954,0.5295055,2.6904009,0.731
"414","Myl7","hurdle",1.72850392621378e-181,-2.442136,2.724672,5.166808,0.729
"132","Cdkn1a","hurdle",2.2374665688496e-65,-1.110776,1.486467,2.597243,0.727
"268","Gfra3","hurdle",5.4807812634405e-133,-3.2167404,0.1107614,3.3275018,0.725
"293","Gpx3","hurdle",1.29915589956451e-150,-3.253194,1.968324,5.221518,0.724
"571","Scg5","hurdle",2.55313617224123e-157,-3.3067552,0.4302582,3.7370134,0.722
"536","Resp18","hurdle",1.44444453310978e-154,-3.295191,1.315502,4.610693,0.722
"343","Itm2c","hurdle",6.13127389564506e-72,-1.2044667,0.6080924,1.8125591,0.716
"692","Tuba1a","hurdle",4.58338921563904e-80,-2.0987649,0.1637589,2.2625238,0.713
"425","Ngfrap1","hurdle",1.79131983697884e-54,-0.1940403,1.4890654,1.6831057,0.712
"240","Fev","hurdle",4.52476560928412e-138,-3.2802957,0.3119845,3.5922802,0.709
