"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Ent","log2fold_change","Auc"
"192","Crip1","hurdle",0,3.602811,5.687772,2.084961,0.911
"275","Fabp2","hurdle",0,2.067843,5.269298,3.201455,0.899
"97","Apoc3","hurdle",0,0.09870425,4.30409088,4.20538663,0.884
"10","2200002D01Rik","hurdle",0,1.416897,3.744142,2.327245,0.883
"93","Apoa4","hurdle",0,0.6117678,5.0253805,4.4136127,0.881
"92","Apoa1","hurdle",0,1.875024,5.992644,4.11762,0.881
"578","Rbp2","hurdle",0,2.058558,5.707835,3.649277,0.88
"695","Smim24","hurdle",0,2.022689,3.965716,1.943027,0.878
"274","Fabp1","hurdle",0,2.481218,5.660818,3.1796,0.877
"565","Prap1","hurdle",0,3.215876,4.757774,1.541898,0.873
"351","Guca2b","hurdle",0,1.154234,4.662656,3.508422,0.873
"704","Spink1","hurdle",0,-0.386984,3.250872,3.637856,0.865
"314","Ggt1","hurdle",0,-1.915024,1.718749,3.633773,0.861
"159","Ces2e","hurdle",0,-0.0776209,2.5712288,2.6488497,0.861
"148","Cdhr5","hurdle",0,-0.1003538,2.3250252,2.425379,0.86
"649","Slc27a4","hurdle",0,-1.579249,1.582627,3.161876,0.859
"218","Cyp4f14","hurdle",0,-0.989858,2.052599,3.042457,0.859
"408","Lct","hurdle",0,-1.88511,2.029513,3.914623,0.855
"94","Apob","hurdle",0,-0.7637166,2.0968161,2.8605327,0.855
"39","Ace","hurdle",0,-2.02619,1.579702,3.605892,0.855
"713","St3gal4","hurdle",0,0.2046177,2.6807651,2.4761474,0.854
"162","Cgref1","hurdle",0,-1.042868,1.630654,2.673522,0.849
"440","Mep1b","hurdle",0,-1.709245,1.573415,3.28266,0.847
"228","Dgat1","hurdle",0,0.1853911,2.3312492,2.1458581,0.846
"176","Clec2h","hurdle",0,-1.226852,1.983466,3.210318,0.846
"40","Ace2","hurdle",0,-2.15059,1.401882,3.552472,0.845
"147","Cdhr2","hurdle",0,-1.006886,1.722542,2.729428,0.844
"680","Slc5a1","hurdle",0,-0.4631577,2.328265,2.7914227,0.843
"412","Lgals3","hurdle",0,-0.6201189,2.3297579,2.9498768,0.843
"410","Leap2","hurdle",0,-1.684498,1.992919,3.677417,0.84
"472","Mttp","hurdle",0,-0.608434,2.006673,2.615107,0.839
"182","Cndp2","hurdle",0,-1.071993,1.804638,2.876631,0.836
"48","Acsl5","hurdle",0,-0.04549182,2.25525199,2.30074381,0.836
"692","Slc9a3r1","hurdle",0,-0.01034194,2.05560951,2.06595145,0.832
"404","Krt20","hurdle",0,-1.196503,1.741733,2.938236,0.832
"241","Dpep1","hurdle",0,-2.068787,1.14747,3.216257,0.832
"58","Adh6a","hurdle",0,-0.7190542,2.3099771,3.0290313,0.831
"791","Vil1","hurdle",0,0.4459994,2.3255241,1.8795247,0.83
"86","Anpep","hurdle",0,0.4444109,3.1839419,2.739531,0.829
"760","Treh","hurdle",0,-2.408437,1.035441,3.443878,0.827
"170","Ckmt1","hurdle",0,0.8879378,3.024697,2.1367592,0.827
"459","Mogat2","hurdle",0,-1.346305,1.445224,2.791529,0.826
"79","Alpi","hurdle",0,-1.434334,1.532514,2.966848,0.825
"512","P4hb","hurdle",0,1.316881,2.852954,1.536073,0.821
"481","Myo1a","hurdle",0,-0.3015581,1.7111322,2.0126903,0.82
"187","Cox7a1","hurdle",0,-0.7583266,2.0547071,2.8130337,0.82
"49","Actb","hurdle",1.2240979038105e-314,2.320401,3.569082,1.248681,0.82
"210","Cyp2d26","hurdle",0,-1.946061,1.158153,3.104214,0.818
"464","Ms4a10","hurdle",0,-0.04470426,2.15242809,2.19713235,0.817
"191","Creb3l3","hurdle",0,-1.637034,1.195206,2.83224,0.816
"621","Sepp1","hurdle",0,-0.859031,2.018138,2.877169,0.815
"648","Slc26a6","hurdle",0,-1.845709,1.085196,2.930905,0.814
"551","Pls1","hurdle",0,-0.7071663,1.5729947,2.280161,0.814
"479","Myo15b","hurdle",0,-1.197086,1.133862,2.330948,0.81
"374","Ifi27l2b","hurdle",8.54722365949891e-270,2.753945,3.845373,1.091428,0.808
"311","Gda","hurdle",0,-2.3149478,0.9921024,3.3070502,0.803
"77","Aldob","hurdle",0,1.590718,3.176633,1.585915,0.801
"267","Ephx2","hurdle",0,-1.401027,1.129869,2.530896,0.8
"686","Slc6a8","hurdle",0,-1.7433407,0.9186111,2.6619518,0.799
"566","Prdx5","hurdle",0,0.8493392,2.387762,1.5384228,0.799
"399","Khk","hurdle",0,0.7149675,2.5596127,1.8446452,0.799
"87","Anxa2","hurdle",5.48931635811917e-319,0.1212201,1.9368808,1.8156607,0.799
"238","Dnase1","hurdle",0,-2.374396,1.177628,3.552024,0.797
"694","Smim22","hurdle",0,0.5270756,2.071163,1.5440874,0.795
"673","Slc43a2","hurdle",0,-2.0827316,0.8488301,2.9315617,0.795
"529","Pepd","hurdle",0,-1.06692,1.233459,2.300379,0.795
"27","Abhd11os","hurdle",5.27656949166232e-273,0.9870289,2.3167682,1.3297393,0.793
"204","Cyp2b10","hurdle",0,-2.8189788,0.7900348,3.6090136,0.792
"62","Agpat2","hurdle",1.68881519061455e-319,-0.3125759,1.4415461,1.754122,0.792
"684","Slc6a19","hurdle",0,-2.4097886,0.7467338,3.1565224,0.79
"429","Maoa","hurdle",0,-0.4906013,1.7122772,2.2028785,0.789
"47","Acox1","hurdle",0,-1.189813,1.045167,2.23498,0.789
"738","Tm6sf2","hurdle",0,-1.147487,1.079883,2.22737,0.787
"214","Cyp3a13","hurdle",0,-2.1802669,0.8383803,3.0186472,0.787
"195","Cst6","hurdle",0,-1.4141896,0.9073239,2.3215135,0.787
"737","Tm4sf5","hurdle",2.96933453150589e-320,1.701457,3.18229,1.480833,0.786
"200","Cyb5r3","hurdle",0,0.008245806,1.682596665,1.674350859,0.784
"353","H2-Q2","hurdle",0,-0.7435537,1.2238562,1.9674099,0.782
"158","Ces2a","hurdle",0,-1.139897,1.170425,2.310322,0.781
"473","Muc13","hurdle",4.68418693256326e-228,2.068085,3.06738,0.999295,0.779
"258","Enpep","hurdle",0,-1.9504799,0.8306687,2.7811486,0.779
"609","Scp2","hurdle",0,1.129094,2.53113,1.402036,0.778
