"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Goblet","log2fold_change","Auc"
"470","Tff3","hurdle",0,1.073829,5.964351,4.890522,0.892
"155","Fcgbp","hurdle",0,-0.9251404,4.5249024,5.4500428,0.875
"405","Selm","hurdle",0,-0.4621939,2.7108112,3.1730051,0.864
"15","Agr2","hurdle",0,0.1045904,4.1991985,4.0946081,0.859
"441","Spink4","hurdle",0,1.798798,5.334386,3.535588,0.856
"485","Tmsb10","hurdle",1.67443676872155e-191,2.583591,3.82971,1.246119,0.809
"211","Guca2a","hurdle",4.32369784310879e-302,-0.2465943,3.3908005,3.6373948,0.798
"506","Txndc5","hurdle",0,-0.7469087,1.4211188,2.1680275,0.797
"435","Smim6","hurdle",1.50409614687146e-273,-0.7123534,1.4099293,2.1222827,0.792
"412","Sh3bgrl3","hurdle",4.39593336874956e-171,1.264683,2.442326,1.177643,0.767
"174","Fxyd3","hurdle",1.41194175885379e-216,-0.2410783,1.6981418,1.9392201,0.761
"295","Muc2","hurdle",5.4582823164145e-298,-1.375213,3.526155,4.901368,0.759
"453","Stard10","hurdle",5.81379683850943e-142,0.8597781,1.9639843,1.1042062,0.745
"433","Smim14","hurdle",1.09817827362059e-197,-0.4039414,1.2889186,1.69286,0.744
"258","Lgals2","hurdle",2.08643470364602e-90,4.593269,5.34544,0.752171,0.741
"356","Qsox1","hurdle",9.16848819709239e-174,-1.496215,0.364669,1.860884,0.73
"440","Spdef","hurdle",6.54271779750871e-308,-2.96246683,0.04216127,3.0046281,0.727
"238","Itln1","hurdle",8.23700985234319e-133,1.896166,3.140102,1.243936,0.726
"249","Krt18","hurdle",1.20039090486868e-80,2.720301,3.500187,0.779886,0.721
"288","Mmp7","hurdle",4.46159046074868e-161,-0.04167416,2.02637271,2.06804687,0.714
"396","Sct","hurdle",1.89000321413798e-145,-0.02262162,0.59553658,0.6181582,0.711
"33","Atoh1","hurdle",1.36490264875591e-246,-2.79062151,0.09714579,2.8877673,0.708
"259","Lgals4","hurdle",1.02372158491989e-69,4.391826,4.94418,0.552354,0.705
