"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Paneth","log2fold_change","Auc"
"87","Gm15284","hurdle",0,1.440349,7.018285,5.577936,0.833
"57","Defa24","hurdle",0,2.714752,7.364972,4.65022,0.833
"129","Lyz1","hurdle",0,1.440698,6.596285,5.155587,0.824
"24","AY761184","hurdle",0,0.8910836,6.6068014,5.7157178,0.821
"53","Defa-rs1","hurdle",0,0.8256844,6.6164844,5.7908,0.813
"54","Defa17","hurdle",8.95784753662037e-294,1.032342,6.529698,5.497356,0.811
"58","Defa26","hurdle",1.03676993420202e-233,-1.634525,3.947978,5.582503,0.808
"88","Gm15292","hurdle",1.55571335799388e-252,-0.4018489,5.4305359,5.8323848,0.807
"43","Clps","hurdle",2.38910014499376e-244,0.1306086,5.63651,5.5059014,0.806
"192","Spink4","hurdle",5.38269263413332e-213,2.114703,5.897615,3.782912,0.803
"90","Gm15299","hurdle",7.18440332326177e-226,-0.1587709,5.5816639,5.7404348,0.803
"13","Ang4","hurdle",1.59690378390991e-231,0.03426513,5.33636929,5.30210416,0.803
"116","Itln1","hurdle",0,1.022656,6.448012,5.425356,0.801
"85","Gm10104","hurdle",7.87895399557211e-248,-0.4390306,5.5245424,5.963573,0.801
"86","Gm14851","hurdle",3.49754234005816e-207,-0.7047184,4.6430826,5.347801,0.8
"136","Mmp7","hurdle",9.6437571176242e-215,-0.4846208,4.283265,4.7678858,0.789
"170","Reg4","hurdle",8.07809146447177e-174,-0.9396156,3.3465549,4.2861705,0.782
"36","Ccl6","hurdle",3.69731678922118e-153,-0.709157,3.554947,4.264104,0.771
"60","Defa5","hurdle",1.72755631224826e-204,-2.64325,2.328951,4.972201,0.769
"165","Ramp1","hurdle",1.65877570478279e-150,-2.300395,1.323117,3.623512,0.763
"147","Nupr1","hurdle",9.5540052749281e-124,-1.702543,1.585128,3.287671,0.757
"139","Muc2","hurdle",1.62227513014579e-98,-0.03793617,1.78537438,1.82331055,0.757
"56","Defa22","hurdle",1.17976654375635e-169,-2.181933,2.089037,4.27097,0.748
"180","Selm","hurdle",9.89406707198221e-73,0.0121612,1.756319,1.7441578,0.746
