"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PreEnt","log2fold_change","Auc"
"690","St3gal4","hurdle",0,0.2232781,3.1385677,2.9152896,0.912
"526","Phgr1","hurdle",0,2.443264,4.084153,1.640889,0.902
"674","Smim24","hurdle",0,2.139035,4.017344,1.878309,0.898
"10","2200002D01Rik","hurdle",0,1.609019,3.695965,2.086946,0.898
"98","Arg2","hurdle",0,-0.5663662,2.2421966,2.8085628,0.892
"429","Mgst3","hurdle",0,2.471716,4.01468,1.542964,0.883
"572","Rbp2","hurdle",0,2.799801,5.072841,2.27304,0.882
"174","Ckmt1","hurdle",0,1.056434,2.960348,1.903914,0.878
"160","Ces2e","hurdle",0,0.2064197,2.4045776,2.1981579,0.877
"193","Cox7a1","hurdle",0,-0.4969959,2.0510783,2.5480742,0.871
"534","Plac8","hurdle",2.38145877508256e-279,4.203003,5.399837,1.196834,0.869
"29","Abhd11os","hurdle",0,0.9866112,2.6975543,1.7109431,0.868
"419","Mdh2","hurdle",5.55333705281976e-297,2.363444,3.759045,1.395601,0.86
"267","Fabp1","hurdle",2.51637215906115e-306,3.086223,4.845197,1.758974,0.86
"708","Tm4sf5","hurdle",0,1.753717,3.344238,1.590521,0.858
"316","Gna11","hurdle",0,0.2276986,2.1289618,1.9012632,0.858
"307","Glod5","hurdle",0,0.1821132,2.1073835,1.9252703,0.856
"200","Crip1","hurdle",8.29418241692985e-229,3.873826,5.042803,1.168977,0.854
"227","Dgat1","hurdle",9.21939740488848e-312,0.377489,2.172837,1.795348,0.853
"382","Khk","hurdle",4.1600327379833e-320,0.8388895,2.5299021,1.6910126,0.849
"396","Lgals3","hurdle",0,-0.167979,1.83335,2.001329,0.846
"268","Fabp2","hurdle",4.8202665173245e-248,2.746209,4.119938,1.373729,0.845
"131","Car4","hurdle",0,-1.632854,1.565471,3.198325,0.844
"123","Bpnt1","hurdle",0,0.1102882,1.9294467,1.8191585,0.844
"391","Ldha","hurdle",7.06296717733219e-226,2.812836,4.016649,1.203813,0.842
"142","Cda","hurdle",6.04475341624026e-308,0.7760357,2.3530666,1.5770309,0.842
"384","Krt19","hurdle",1.69852350902788e-263,2.825529,4.244373,1.418844,0.84
"557","Prap1","hurdle",6.43163124603989e-199,3.349322,4.472657,1.123335,0.837
"331","Gsta1","hurdle",0,-0.384292,2.416208,2.8005,0.837
"53","Adh6a","hurdle",6.23740353860181e-315,-0.3406301,2.1225221,2.4631522,0.837
"412","Maoa","hurdle",7.89791134771324e-280,-0.3117811,1.6443058,1.9560869,0.836
"91","Apoa1","hurdle",1.99437626946265e-269,3.057407,4.504455,1.447048,0.835
"88","Anxa2","hurdle",1.77735774634323e-264,0.217998,2.016765,1.798767,0.832
"452","Mttp","hurdle",4.45777863330224e-262,-0.2815519,1.658026,1.9395779,0.826
"290","Fth1","hurdle",1.73912633189362e-161,4.931872,5.708237,0.776364999999999,0.826
"87","Anpep","hurdle",2.24960477040044e-249,0.8522429,2.6259081,1.7736652,0.824
"217","Cyp4f14","hurdle",1.39716601023923e-286,-0.4694739,1.3985494,1.8680233,0.822
"714","Tmem120a","hurdle",2.09902525827625e-279,-0.724509,1.340544,2.065053,0.821
"386","Krt8","hurdle",1.61134477359962e-196,3.078523,4.176779,1.098256,0.82
"75","Aldob","hurdle",1.35989044360861e-237,1.708648,3.025535,1.316887,0.819
"441","Mogat2","hurdle",1.67256068396579e-293,-1.000886,1.17947,2.180356,0.817
"709","Tm6sf2","hurdle",1.95645033542553e-270,-0.9908247,1.1073835,2.0982082,0.816
"190","Coro2a","hurdle",1.66371665580581e-319,-1.174714,1.123812,2.298526,0.815
"326","Gpx1","hurdle",6.58193869716136e-186,2.946912,4.068157,1.121245,0.814
"460","Myo1a","hurdle",6.01824432292867e-238,-0.1330141,1.5711567,1.7041708,0.811
"158","Ces1f","hurdle",0,-1.9018235,0.8068195,2.708643,0.807
"150","Cdkn2b","hurdle",0,-2.1643614,0.6437063,2.8080677,0.804
"612","Serpinb6a","hurdle",5.15600946829325e-237,-0.001304971,1.545069774,1.546374745,0.802
"577","Reg3a","hurdle",5.12370400285872e-304,-0.4805915,1.9744816,2.4550731,0.802
"561","Prpsap1","hurdle",2.98925720916701e-268,0.06407041,1.65683807,1.59276766,0.802
"428","Mgst2","hurdle",2.92184111399878e-255,-0.04545124,1.6520767,1.69752794,0.802
"397","Lgals4","hurdle",3.11661763289304e-144,4.372602,5.106187,0.733585000000001,0.802
"414","Marc2","hurdle",3.74589446660583e-205,1.793769,2.931167,1.137398,0.801
"274","Fam213b","hurdle",2.24709402659681e-234,-0.3038604,1.3949916,1.698852,0.801
"269","Fahd1","hurdle",1.45079405279451e-294,-0.2491617,1.5565807,1.8057424,0.798
"134","Casp6","hurdle",5.7423380187618e-270,0.4359643,1.9451018,1.5091375,0.798
"76","Alpi","hurdle",5.74811622394011e-292,-1.031247,1.223463,2.25471,0.798
"56","Agpat2","hurdle",9.50402992339975e-225,-0.2103466,1.4692771,1.6796237,0.798
"51","Adh1","hurdle",2.45881613029802e-224,0.004717585,1.871229213,1.866511628,0.797
"682","Spink1","hurdle",7.997713619505e-282,0.4956568,2.0218489,1.5261921,0.794
"172","Cisd3","hurdle",1.79514407476748e-203,0.9347035,2.1353728,1.2006693,0.794
"93","Apoc3","hurdle",1.26127594300934e-238,1.416255,2.244571,0.828316,0.794
"140","Ccl25","hurdle",6.92593194640184e-185,1.897092,2.983512,1.08642,0.793
"74","Aldoa","hurdle",2.0490229351056e-188,1.443024,2.585275,1.142251,0.791
"632","Slc26a6","hurdle",3.79499268502312e-278,-1.4013533,0.5973996,1.9987529,0.787
"444","Ms4a10","hurdle",1.12354348691731e-186,0.2143963,1.7116379,1.4972416,0.787
"178","Clec2h","hurdle",4.87134614846809e-288,-0.6072092,1.1527524,1.7599616,0.787
"694","Sult1b1","hurdle",9.77232484886963e-225,-1.134175,0.8312455,1.9654205,0.786
"655","Slc51a","hurdle",2.7984758969327e-279,-1.8230806,0.5508367,2.3739173,0.786
"611","Serpinb1a","hurdle",2.82330450903339e-195,0.7318917,2.0401865,1.3082948,0.786
"255","Enpep","hurdle",5.04580587148078e-284,-1.6203151,0.6072727,2.2275878,0.782
"618","Sis","hurdle",4.36816127180742e-273,-1.3951905,0.9906013,2.3857918,0.779
"385","Krt20","hurdle",1.6022762420729e-266,-0.7057223,1.0721726,1.7778949,0.779
"208","Cyb5r3","hurdle",2.00369043966634e-189,0.1316746,1.5565807,1.4249061,0.776
"408","Lypd8","hurdle",6.4907218927724e-116,4.412973,5.198423,0.78545,0.775
"513","Pccb","hurdle",2.55313879939661e-254,-1.1420292,0.9279703,2.0699995,0.771
"506","P4hb","hurdle",5.99683851437128e-152,1.454833,2.530875,1.076042,0.768
"589","S100a10","hurdle",1.19342891695146e-139,2.039221,2.962273,0.923052,0.767
"232","Dhrs11","hurdle",4.87116590524452e-211,-1.1747136,0.6146334,1.789347,0.767
"675","Smlr1","hurdle",1.2626462405953e-239,-1.8256954,0.3061031,2.1317985,0.766
"334","Gstm3","hurdle",3.50842978126161e-207,-0.770579,1.233856,2.004435,0.766
"223","Dbi","hurdle",1.44477628692075e-107,3.749457,4.404135,0.654678,0.766
"207","Cyb5b","hurdle",4.26149390379416e-169,0.6173614,1.8365013,1.2191399,0.766
"576","Reg1","hurdle",5.2225681434327e-245,0.2363947,3.5170302,3.2806355,0.765
"355","Hkdc1","hurdle",8.12584803646963e-243,-1.9495063,0.3346128,2.2841191,0.762
"354","Hist1h2bc","hurdle",1.21541275804627e-146,0.8817267,2.1404812,1.2587545,0.761
"667","Slc7a9","hurdle",1.85265293651726e-219,-1.6853158,0.3914249,2.0767407,0.76
"411","Mall","hurdle",1.44669572914154e-208,-1.600029,0.3479233,1.9479523,0.759
"760","Usmg5","hurdle",1.67681161974094e-134,1.795862,2.643107,0.847245,0.758
"146","Cdhr5","hurdle",1.07132035779681e-143,0.2910228,1.3885653,1.0975425,0.758
"192","Cox6a1","hurdle",7.81563417398572e-96,3.667344,4.251965,0.584621,0.757
"746","Txndc17","hurdle",1.68752803120294e-135,1.632665,2.521769,0.889104,0.756
"206","Cyb5a","hurdle",3.87323090086851e-130,1.870113,2.734059,0.863946,0.754
"532","Pkm","hurdle",4.27942359265197e-145,0.7674589,1.8301921,1.0627332,0.753
"105","Atp5k","hurdle",1.16980232038595e-115,2.073305,2.837288,0.763983,0.751
"65","Akr1c19","hurdle",1.29810516515925e-251,-2.1028091,0.3971273,2.4999364,0.751
"707","Tkfc","hurdle",1.33695081858686e-164,-0.5793621,0.9031385,1.4825006,0.75
"673","Smim22","hurdle",2.2280296107726e-141,0.6623742,1.7748726,1.1124984,0.75
"194","Cox7a2","hurdle",4.67605466869764e-98,3.179606,3.820278,0.640672,0.75
"602","Sdhb","hurdle",8.86629233321853e-121,1.984393,2.80011,0.815717,0.749
"567","Pycard","hurdle",3.49862947116214e-104,3.112626,3.917965,0.805339,0.748
"755","Uqcr11","hurdle",9.66165290242795e-95,3.345659,3.969826,0.624167,0.746
"578","Reg3b","hurdle",2.78169587641212e-136,2.701677,4.669336,1.967659,0.745
"477","Ndufa6","hurdle",1.04136104522508e-106,2.384783,3.056493,0.67171,0.745
"170","Cideb","hurdle",1.00410180044263e-167,-1.2227288,0.5469947,1.7697235,0.743
"446","Ms4a8a","hurdle",4.75047960820141e-150,-0.9051381,0.635287,1.5404251,0.742
"422","Mep1b","hurdle",5.30035028059905e-224,-1.0337645,0.6109577,1.6447222,0.742
"137","Cbr1","hurdle",2.53193845145959e-138,0.2848746,1.4746804,1.1898058,0.742
"89","Aoc1","hurdle",1.43370329779709e-146,-0.7530521,0.7253021,1.4783542,0.742
"341","Guca2b","hurdle",1.41072794399873e-166,2.060322,2.854488,0.794166,0.74
"445","Ms4a18","hurdle",2.98095388158606e-227,-2.2431486,0.06233706,2.30548566,0.737
"159","Ces2a","hurdle",3.31575971901617e-146,-0.8504207,0.6885728,1.5389935,0.736
"46","Actb","hurdle",5.63423820445854e-107,2.423031,3.276439,0.853408,0.736
"574","Rdh7","hurdle",7.86089876746624e-179,-1.4668524,0.4854268,1.9522792,0.735
"183","Cndp2","hurdle",2.53535156220952e-138,-0.5551127,0.9091372,1.4642499,0.734
"478","Ndufb10","hurdle",6.91468199921714e-113,1.653781,2.482412,0.828631,0.733
"453","Muc3","hurdle",9.77022002710282e-124,-0.1139788,1.1991879,1.3131667,0.733
"37","Acbd4","hurdle",4.23732720340202e-148,-1.0921187,0.4746804,1.5667991,0.732
"347","Hagh","hurdle",2.44998331256109e-153,-0.813836,0.6943737,1.5082097,0.731
"318","Gng12","hurdle",1.01507342742102e-124,0.1986132,1.3030691,1.1044559,0.731
"144","Cdh17","hurdle",1.36560270188523e-129,0.6743755,1.7001514,1.0257759,0.73
"662","Slc6a20a","hurdle",9.48943071735418e-200,-1.9914607,0.09427995,2.08574065,0.729
"630","Slc25a45","hurdle",7.44081201177481e-202,-2.00226599,0.09778589,2.10005188,0.729
"104","Atp1a1","hurdle",1.60547088499071e-105,1.796712,2.625604,0.828892,0.729
"764","Vil1","hurdle",2.84738017174661e-105,0.6843647,1.635287,0.9509223,0.728
"745","Txn1","hurdle",9.03764971869965e-81,3.298274,3.891192,0.592918,0.728
"433","Minos1","hurdle",1.24821482453161e-94,2.213489,2.897115,0.683626,0.728
"348","Hdhd3","hurdle",1.04490051560411e-158,-0.8959495,0.6231737,1.5191232,0.728
"191","Cox5a","hurdle",3.49277615185904e-89,2.754858,3.420064,0.665206,0.728
"95","Aprt","hurdle",1.88914675806426e-104,1.714659,2.489436,0.774777,0.725
"272","Fam132a","hurdle",3.01772607075249e-145,-0.8849999,0.6472996,1.5322995,0.724
"669","Slc9a3r1","hurdle",2.61111046231855e-104,0.2694395,1.3219281,1.0524886,0.723
"528","Pigr","hurdle",5.06390000840103e-83,3.276291,3.914738,0.638447,0.723
"522","Pfkp","hurdle",7.368047927758e-159,-1.6048867,0.1844246,1.7893113,0.723
"163","Chchd10","hurdle",7.35108561582153e-82,2.781501,3.390711,0.60921,0.723
"298","Gapdh","hurdle",4.29029857325267e-95,2.183355,2.943398,0.760043,0.721
"69","Aldh1a1","hurdle",3.34431043165177e-189,-1.5966755,0.3999701,1.9966456,0.719
"44","Acp5","hurdle",2.66200349299793e-125,-0.4754497,0.7874108,1.2628605,0.719
"559","Prdx5","hurdle",3.14879180720342e-94,1.017575,1.82861,0.811035,0.718
"455","Myh14","hurdle",2.52836313298155e-128,-0.4151359,0.8748097,1.2899456,0.718
"322","Gpd1","hurdle",4.99977884963526e-124,-0.7322562,0.6874098,1.419666,0.718
"202","Cst6","hurdle",1.63781732490223e-149,-1.1015939,0.3121522,1.4137461,0.718
"454","Mvp","hurdle",9.69267049760842e-128,-0.7645039,0.5949207,1.3594246,0.717
