"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Tuft","log2fold_change","Auc"
"553","Lrmp","hurdle",5.84985405042564e-302,-2.763888,3.204713,5.968601,0.893
"64","Alox5ap","hurdle",6.01310786899977e-300,-2.823448,3.163334,5.986782,0.89
"560","Ltc4s","hurdle",6.90369832768522e-311,-2.222471,2.881514,5.103985,0.885
"115","Avil","hurdle",7.95089007281978e-282,-3.044453,1.830768,4.875221,0.874
"847","Sh2d6","hurdle",1.24868905541439e-282,-3.001413,2.650647,5.65206,0.868
"319","Espn","hurdle",4.57032311229539e-216,-1.415822,2.528806,3.944628,0.868
"898","Snrnp25","hurdle",0,-0.7606947,3.2630344,4.0237291,0.864
"186","Cd24a","hurdle",2.30880906544061e-240,1.788948,4.859129,3.070181,0.864
"788","Rgs13","hurdle",1.00510813876599e-274,-2.85801,3.084849,5.942859,0.863
"836","Selm","hurdle",6.38637328489273e-161,-0.2189056,3.5576813,3.7765869,0.862
"783","Reep5","hurdle",2.39098628059527e-260,-1.904392,3.296677,5.201069,0.861
"528","Krt18","hurdle",1.77767798331678e-175,2.648856,5.244581,2.595725,0.86
"436","Hck","hurdle",9.6123051805324e-266,-2.752742,3.502718,6.25546,0.854
"513","Kctd12","hurdle",1.06447635147017e-251,-2.822615,1.834231,4.656846,0.853
"101","Atp2a3","hurdle",3.56204683599138e-236,-2.678543,1.488067,4.16661,0.853
"57","Aldh2","hurdle",4.85033977615575e-317,-0.06806712,2.65554754,2.72361466,0.851
"910","Spib","hurdle",1.23242661411599e-265,-3.174404,1.364213,4.538617,0.849
"266","Dclk1","hurdle",1.51326095976824e-263,-3.131491,1.552541,4.684032,0.846
"749","Ptpn18","hurdle",0,-0.5864342,3.0826677,3.6691019,0.838
"1025","Trpm5","hurdle",3.29625812546388e-251,-3.135622,1.531368,4.66699,0.836
"986","Tmem176b","hurdle",6.40958258630432e-136,1.162795,3.11505,1.952255,0.836
"545","Limd2","hurdle",5.36999528354957e-248,-2.656117,1.84113,4.497247,0.835
"361","Fyb","hurdle",4.68436655481562e-250,-3.1861372,0.8383743,4.0245115,0.834
"1041","Tuba1a","hurdle",2.05496589520109e-214,-2.702854,2.369711,5.072565,0.833
"259","Cystm1","hurdle",2.4551093896768e-105,3.018488,4.514527,1.496039,0.833
"321","Ethe1","hurdle",0,-1.385684,2.264575,3.650259,0.832
